Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"EQUILOT                  ";5;H;"PUR SANG";7;1;4;19505,00;9654,00;29159,00;2786,43;270
"AZUR AS WELL             ";5;F;"PUR SANG";9;2;5;19500,00;9652,00;29152,00;2166,67;295
"DARLING DARLING          ";2;F;"PUR SANG";3;1;2;19500,00;14040,00;33540,00;6500,00;430
"ZANDY                    ";2;F;"PUR SANG";3;1;1;19500,00;0,00;19500,00;6500,00;420
"VALDIVARA                ";2;F;"PUR SANG";2;1;1;19500,00;0,00;19500,00;9750,00;
"MR SLICKER               ";9;H;"PUR SANG";10;1;3;19500,00;7895,00;27395,00;1950,00;255
"GUET APENS               ";3;M;"PUR SANG";6;0;4;19500,00;0,00;19500,00;3250,00;450
"VEGA STAR                ";3;H;"PUR SANG";6;1;4;19450,00;14004,00;33454,00;3241,67;365
"LET'S GET LOUD           ";3;F;"PUR SANG";4;1;2;19450,00;0,00;19450,00;4862,50;370
"VILLA ROYALE             ";6;F;"PUR SANG";12;0;9;19450,00;7876,00;27326,00;1620,83;285
"INSIGNIA OF RANK         ";8;H;"PUR SANG";12;1;8;19440,00;0,00;19440,00;1620,00;305
"SRINOVA                  ";7;H;"PUR SANG";6;2;2;19400,00;7856,00;27256,00;3233,33;240
"ALSIMRYA                 ";3;F;"PUR SANG";5;1;3;19400,00;13968,00;33368,00;3880,00;380
"KING MOTIF               ";5;H;"PUR SANG";14;2;6;19350,00;7225,00;26575,00;1382,14;265
"ASHIYA                   ";3;F;"PUR SANG";4;1;2;19350,00;13932,00;33282,00;4837,50;430
"CIOTOLA                  ";2;F;"PUR SANG";8;1;5;19350,00;0,00;19350,00;2418,75;330
"CRUELLA DE VIL           ";5;F;"PUR SANG";9;1;4;19310,00;9558,00;28868,00;2145,56;300
"KHAZAR LISES             ";5;H;"PUR SANG";4;2;1;19300,00;9553,00;28853,00;4825,00;610
"BOCCIATORE               ";7;H;"PUR SANG";11;1;3;19300,00;7816,00;27116,00;1754,55;290
"LE PARRAIN               ";8;M;"PUR SANG";12;1;4;19250,00;7795,00;27045,00;1604,17;250
"DAR TOUNGI               ";5;H;"PUR SANG";6;0;5;19250,00;9528,00;28778,00;3208,33;405
"BRAVEHEART               ";7;H;"PUR SANG";6;2;1;19200,00;0,00;19200,00;3200,00;335
"BECQUANIENTE             ";3;F;"PUR SANG";9;1;3;19200,00;13824,00;33024,00;2133,33;310
"THE TIME                 ";7;H;"PUR SANG";13;1;4;19200,00;7776,00;26976,00;1476,92;260
"AMIATA                   ";6;F;"PUR SANG";18;1;6;19200,00;7776,00;26976,00;1066,67;190
"AQUILON                  ";3;H;"PUR SANG";6;1;5;19200,00;13824,00;33024,00;3200,00;355
"YOLLILAL                 ";2;F;"PUR SANG";6;0;5;19200,00;13824,00;33024,00;3200,00;370
"CHARLOTTE BAY            ";3;F;"PUR SANG";6;1;3;19190,00;13816,00;33006,00;3198,33;350
"MR GOODNIGHT             ";4;H;"PUR SANG";10;0;7;19170,00;9487,00;28657,00;1917,00;355
"BABA SIM                 ";4;H;"PUR SANG";9;0;4;19150,00;9477,00;28627,00;2127,78;345
"FIRST CREATION           ";5;H;"PUR SANG";5;2;2;19125,00;8761,00;27886,00;3825,00;300
"SCENARISTE               ";6;F;"PUR SANG";10;1;6;19125,00;7743,00;26868,00;1912,50;330
"BAYLAGAN                 ";7;H;"PUR SANG";7;1;4;19100,00;7734,00;26834,00;2728,57;245
"LIMESY                   ";3;F;"PUR SANG";5;1;4;19100,00;13752,00;32852,00;3820,00;375
"WERSEILLER               ";5;H;"PUR SANG";5;2;1;19080,00;0,00;19080,00;3816,00;305
"BLACKBIRDFLY             ";6;M;"PUR SANG";9;1;4;19080,00;0,00;19080,00;2120,00;295
"LIVING NELSON            ";4;H;"PUR SANG";9;2;4;19050,00;9428,00;28478,00;2116,67;335
"NOBLE ANGEL              ";5;F;"PUR SANG";11;2;2;19050,00;9428,00;28478,00;1731,82;250
"NOIRE DESIRE             ";4;F;"PUR SANG";9;1;4;19010,00;9408,00;28418,00;2112,22;320
"ALFIERI                  ";10;H;"PUR SANG";16;2;4;19000,00;7694,00;26694,00;1187,50;240
"TERTIUS                  ";7;H;"PUR SANG";3;2;0;19000,00;7694,00;26694,00;6333,33;425
"CISKY                    ";5;F;"PUR SANG";5;2;0;19000,00;9405,00;28405,00;3800,00;285
"JAGDA                    ";3;F;"PUR SANG";8;1;2;19000,00;13680,00;32680,00;2375,00;365
"CAVALLETTI               ";2;F;"PUR SANG";2;1;1;19000,00;0,00;19000,00;9500,00;
"SWEET MASTER             ";7;H;"PUR SANG";8;1;6;19000,00;7694,00;26694,00;2375,00;290
"LOUBEISIEN               ";4;M;"PUR SANG";5;1;0;19000,00;9405,00;28405,00;3800,00;430
"AIXELLENCE               ";3;F;"PUR SANG";7;1;3;19000,00;13680,00;32680,00;2714,29;325
"CITY OF HOPE             ";3;M;"PUR SANG";10;1;3;19000,00;13680,00;32680,00;1900,00;290
"MAJOR OAK                ";3;H;"PUR SANG";7;0;5;19000,00;13680,00;32680,00;2714,29;385
"SALVA MEA                ";2;F;"PUR SANG";2;0;2;19000,00;13680,00;32680,00;9500,00;
"KING KARA                ";4;H;"PUR SANG";6;2;2;18950,00;9379,00;28329,00;3158,33;265
"LIVE                     ";5;H;"PUR SANG";6;1;3;18950,00;9379,00;28329,00;3158,33;410
"SHAZAM                   ";3;H;"PUR SANG";8;1;3;18950,00;0,00;18950,00;2368,75;325
"BOLTES FAL               ";3;H;"PUR SANG";9;0;7;18950,00;0,00;18950,00;2105,56;290
"NOTRE HISTOIRE           ";4;H;"PUR SANG";9;3;3;18900,00;9353,00;28253,00;2100,00;260
"STRESSFREE               ";3;H;"PUR SANG";3;1;1;18900,00;13608,00;32508,00;6300,00;370
"ELAMAZ                   ";3;H;"PUR SANG";2;1;1;18900,00;0,00;18900,00;9450,00;420
"BLACKJAC DU HOULEY       ";5;H;"PUR SANG";11;0;6;18880,00;9344,00;28224,00;1716,36;290
"SAKARI                   ";3;H;"PUR SANG";10;2;4;18850,00;13572,00;32422,00;1885,00;305
"ANISTOU                  ";4;F;"PUR SANG";7;2;1;18850,00;0,00;18850,00;2692,86;305
"SOAN                     ";4;M;"PUR SANG";11;1;5;18850,00;9328,00;28178,00;1713,64;280
"ELLERTON                 ";3;M;"PUR SANG";7;1;4;18850,00;7308,00;26158,00;2692,86;380
"SPIRIT GREY              ";3;H;"PUR SANG";12;0;7;18850,00;13572,00;32422,00;1570,83;290
"GHRAINNE                 ";3;F;"PUR SANG";7;1;4;18840,00;0,00;18840,00;2691,43;370
"HE'S A ROCK STAR         ";7;H;"PUR SANG";9;2;2;18800,00;0,00;18800,00;2088,89;245
"FIRST PAGE               ";3;M;"PUR SANG";7;1;3;18800,00;13536,00;32336,00;2685,71;345
"YOU ROCK                 ";6;H;"PUR SANG";4;1;3;18800,00;7611,00;26411,00;4700,00;340
"MONSIEUR XOO             ";6;H;"PUR SANG";8;0;5;18790,00;7609,00;26399,00;2348,75;400
"ANONYMOUS                ";4;H;"PUR SANG";4;0;4;18790,00;0,00;18790,00;4697,50;395
"ESSAI TRANSFORME         ";5;H;"PUR SANG";8;1;4;18770,00;9289,00;28059,00;2346,25;345
"BACCHILIDE               ";4;H;"PUR SANG";7;1;3;18760,00;9285,00;28045,00;2680,00;360
"WONDER HOPE              ";5;F;"PUR SANG";8;1;4;18750,00;9281,00;28031,00;2343,75;245
"LOCAL WHISKY             ";7;M;"PUR SANG";4;1;1;18750,00;0,00;18750,00;4687,50;350
"RITOURNELLE              ";3;F;"PUR SANG";3;0;2;18750,00;13500,00;32250,00;6250,00;460
"PERTUSATO                ";5;H;"PUR SANG";8;0;5;18750,00;9280,00;28030,00;2343,75;315
"MUNAADRAM                ";5;F;"PUR SANG";6;1;4;18730,00;9271,00;28001,00;3121,67;275
"SWEET FORTUNE            ";3;F;"PUR SANG";6;2;1;18700,00;13464,00;32164,00;3116,67;355
"YSSINGEAUX               ";7;H;"PUR SANG";12;1;5;18700,00;7572,00;26272,00;1558,33;290
"PEARL HARBOUR            ";3;F;"PUR SANG";7;1;3;18700,00;13464,00;32164,00;2671,43;360
"RIO D'OCTOBRE            ";5;H;"PUR SANG";6;1;3;18700,00;9256,00;27956,00;3116,67;355
"PHILOSOPHY               ";8;H;"PUR SANG";6;1;2;18700,00;7573,00;26273,00;3116,67;270
"ACCORD PARFAIT           ";3;M;"PUR SANG";4;1;3;18650,00;13428,00;32078,00;4662,50;390
"EL PRO                   ";3;M;"PUR SANG";6;0;5;18650,00;0,00;18650,00;3108,33;365
"BECHO                    ";5;F;"PUR SANG";11;2;3;18600,00;9207,00;27807,00;1690,91;275
"KAURI CLIFFS             ";5;H;"PUR SANG";8;2;4;18600,00;9205,00;27805,00;2325,00;310
"LOONA SPIGAO             ";7;F;"PUR SANG";8;2;2;18600,00;7532,00;26132,00;2325,00;240
"MILLFIELD                ";10;M;"PUR SANG";5;1;4;18600,00;7530,00;26130,00;3720,00;365
"BOBBYMURPHY              ";5;M;"PUR SANG";9;1;4;18575,00;9194,00;27769,00;2063,89;360
"ITHAQUE                  ";4;F;"PUR SANG";6;2;2;18550,00;9181,00;27731,00;3091,67;315
"LE KAKOU                 ";7;M;"PUR SANG";11;1;5;18550,00;7511,00;26061,00;1686,36;265
"LE GARDOLOT              ";5;H;"PUR SANG";10;1;5;18550,00;9182,00;27732,00;1855,00;235
"NAVAL ACADEMY            ";3;H;"PUR SANG";4;1;3;18550,00;0,00;18550,00;4637,50;360
"WEST MARTIN              ";4;H;"PUR SANG";9;1;7;18550,00;7076,00;25626,00;2061,11;325
"LORNE                    ";4;F;"PUR SANG";4;1;2;18540,00;9176,00;27716,00;4635,00;370
"ICATU                    ";4;H;"PUR SANG";9;1;3;18530,00;0,00;18530,00;2058,89;290
"HOLLYHOCK                ";4;H;"PUR SANG";8;1;3;18520,00;9165,00;27685,00;2315,00;380
"DANCE COLONY             ";8;F;"PUR SANG";11;2;0;18500,00;7492,00;25992,00;1681,82;225
"BELCHA                   ";7;H;"PUR SANG";14;2;10;18500,00;6841,00;25341,00;1321,43;220
"MON OURAGAN              ";7;H;"PUR SANG";2;2;0;18500,00;7492,00;25992,00;9250,00;410
"KATHINA                  ";3;F;"PUR SANG";4;1;3;18500,00;13320,00;31820,00;4625,00;375
"ILES ET AILES            ";3;M;"PUR SANG";4;1;2;18500,00;0,00;18500,00;4625,00;390
"ADORE BLUE               ";2;M;"PUR SANG";4;0;4;18500,00;0,00;18500,00;4625,00;390
"COMBERMERE               ";7;H;"PUR SANG";4;1;3;18490,00;7487,00;25977,00;4622,50;335
"ATLANTIGO                ";4;H;"PUR SANG";8;2;2;18450,00;9132,00;27582,00;2306,25;335
"SEEKING DICKENS          ";6;H;"PUR SANG";4;1;3;18450,00;7471,00;25921,00;4612,50;330
"SAINT NICOLAS            ";8;H;"PUR SANG";8;2;1;18400,00;7451,00;25851,00;2300,00;290
"GREY D'ARS               ";7;H;"PUR SANG";5;2;1;18400,00;7451,00;25851,00;3680,00;295
"CLARETINA                ";3;F;"PUR SANG";13;1;4;18400,00;0,00;18400,00;1415,38;280
"VISIONARY DREAMER        ";7;H;"PUR SANG";8;1;4;18400,00;7451,00;25851,00;2300,00;240
"SUPER QUARTZ             ";4;H;"PUR SANG";9;1;3;18400,00;9107,00;27507,00;2044,44;355
"NO TIME                  ";3;F;"PUR SANG";13;0;9;18400,00;12528,00;30928,00;1415,38;265
"KOREA                    ";3;F;"PUR SANG";6;0;5;18400,00;0,00;18400,00;3066,67;350
"BERNEUIL                 ";6;H;"PUR SANG";4;0;2;18400,00;7452,00;25852,00;4600,00;465
"CHENNAMMA                ";3;F;"PUR SANG";6;0;5;18400,00;0,00;18400,00;3066,67;310
"KALAOS                   ";5;H;"PUR SANG";11;0;7;18370,00;9091,00;27461,00;1670,00;295
"HEART SHINING            ";4;H;"PUR SANG";8;1;2;18350,00;9082,00;27432,00;2293,75;290
"LEANDRA                  ";3;F;"PUR SANG";3;1;2;18350,00;13212,00;31562,00;6116,67;370
"JORDAN BAKER             ";4;H;"PUR SANG";17;1;7;18330,00;9070,00;27400,00;1078,24;285
"ORANGE VIF               ";4;H;"PUR SANG";14;1;4;18300,00;9057,00;27357,00;1307,14;280
"RETOUCH                  ";2;M;"PUR SANG";3;1;1;18300,00;13176,00;31476,00;6100,00;410
"MY TAKY TAKY LP          ";3;M;"PUR SANG";6;1;3;18300,00;0,00;18300,00;3050,00;315
"WHEEL OF CHANCE          ";6;H;"PUR SANG";12;1;5;18300,00;7411,00;25711,00;1525,00;275
"MURANO                   ";3;H;"PUR SANG";7;1;4;18300,00;13176,00;31476,00;2614,29;355
"NANO NAGLE               ";4;F;"PUR SANG";3;0;3;18300,00;0,00;18300,00;6100,00;445
"CHICATCHI                ";8;F;"PUR SANG";7;1;5;18275,00;7228,00;25503,00;2610,71;250
"ALLURRE                  ";4;F;"PUR SANG";9;1;6;18270,00;9042,00;27312,00;2030,00;335
"GREEN SPIRIT             ";6;H;"PUR SANG";8;1;2;18260,00;7394,00;25654,00;2282,50;295
"ROGUE LIGHTNING          ";3;H;"PUR SANG";2;0;2;18260,00;0,00;18260,00;9130,00;500
"JUST IN TIME GAME        ";4;M;"PUR SANG";8;1;4;18250,00;9032,00;27282,00;2281,25;340
"PENTAOUR                 ";4;H;"PUR SANG";7;0;5;18240,00;9027,00;27267,00;2605,71;340
"RED DUMA                 ";8;F;"PUR SANG";16;2;8;18200,00;7370,00;25570,00;1137,50;220
"HONG KONG STAR           ";6;F;"PUR SANG";7;1;4;18200,00;7371,00;25571,00;2600,00;255
"AGRI                     ";3;M;"PUR SANG";5;1;3;18200,00;13104,00;31304,00;3640,00;360
"BEYOND MY DREAMS         ";8;H;"PUR SANG";13;1;4;18200,00;7370,00;25570,00;1400,00;240
"HYGROVE LASS             ";4;F;"PUR SANG";13;1;5;18200,00;9009,00;27209,00;1400,00;265
"DENVER CHOP              ";3;M;"PUR SANG";7;0;3;18200,00;13104,00;31304,00;2600,00;440
"FAN ZONE                 ";7;F;"PUR SANG";12;1;6;18150,00;7349,00;25499,00;1512,50;195
"BOMBEY                   ";2;M;"PUR SANG";9;1;5;18150,00;13068,00;31218,00;2016,67;315
"OKAPINA'S LIGHT          ";3;H;"PUR SANG";5;1;3;18150,00;13068,00;31218,00;3630,00;355
"DOCTEUR TOURNESOL        ";3;H;"PUR SANG";8;1;5;18120,00;13046,00;31166,00;2265,00;300
"BAILEYS ECLAIR           ";3;H;"PUR SANG";10;1;4;18100,00;13032,00;31132,00;1810,00;360
"RETORT                   ";2;M;"PUR SANG";4;0;4;18100,00;0,00;18100,00;4525,00;385
"ZAAHIR                   ";7;H;"PUR SANG";13;1;5;18075,00;7319,00;25394,00;1390,38;265
"THUNDERSPEED             ";6;M;"PUR SANG";7;0;4;18070,00;7316,00;25386,00;2581,43;375
"STRIVER                  ";3;F;"PUR SANG";6;2;2;18050,00;9396,00;27446,00;3008,33;325
"SNOWFINCH                ";3;F;"PUR SANG";7;1;3;18050,00;0,00;18050,00;2578,57;345
"KIZMAMBO                 ";3;H;"PUR SANG";6;0;4;18050,00;0,00;18050,00;3008,33;360
"MISSALIA                 ";4;F;"PUR SANG";7;0;3;18040,00;8928,00;26968,00;2577,14;375
"PULSE                    ";6;H;"PUR SANG";8;1;5;18020,00;0,00;18020,00;2252,50;290
"OMICRONE                 ";3;F;"PUR SANG";7;1;3;18020,00;12974,00;30994,00;2574,29;340
"MY LENNY                 ";8;H;"PUR SANG";8;2;0;18000,00;7290,00;25290,00;2250,00;330
"PALAZZO                  ";2;M;"PUR SANG";2;1;1;18000,00;12960,00;30960,00;9000,00;
"JACQUES COEUR            ";6;H;"PUR SANG";9;1;5;18000,00;7289,00;25289,00;2000,00;250
"RAMADAN                  ";2;M;"PUR SANG";2;1;1;18000,00;12960,00;30960,00;9000,00;
"DANNSA FLORA             ";4;F;"PUR SANG";4;1;2;18000,00;8909,00;26909,00;4500,00;445
"FRENCH BOB               ";3;F;"PUR SANG";4;0;3;18000,00;0,00;18000,00;4500,00;405
"WHISTLE AND FLUTE        ";3;M;"PUR SANG";4;0;3;18000,00;0,00;18000,00;4500,00;470
"LUCI DEL FARO            ";5;F;"PUR SANG";10;1;3;17960,00;8889,00;26849,00;1796,00;305
"CHATAIGNE                ";2;F;"PUR SANG";3;1;2;17950,00;12924,00;30874,00;5983,33;400
"ASIAN PEARL              ";4;F;"PUR SANG";9;1;3;17950,00;8885,00;26835,00;1994,44;305
"LORD OF WAR              ";2;M;"PUR SANG";3;1;2;17950,00;12924,00;30874,00;5983,33;400
"WALLIS ET FUTUNA         ";5;F;"PUR SANG";13;3;8;17940,00;8878,00;26818,00;1380,00;610
"LEVANT                   ";6;F;"PUR SANG";18;2;6;17925,00;7258,00;25183,00;995,83;205
"LONG KE WAN              ";3;F;"PUR SANG";11;3;5;17900,00;10368,00;28268,00;1627,27;260
"ZEPLACETOBE              ";2;F;"PUR SANG";3;1;2;17900,00;12888,00;30788,00;5966,67;380
"SHAMIYANA                ";4;F;"PUR SANG";3;1;2;17900,00;0,00;17900,00;5966,67;345
"SOUPIR                   ";5;H;"PUR SANG";8;1;6;17900,00;8858,00;26758,00;2237,50;235
"RIDPOUR                  ";3;M;"PUR SANG";4;1;2;17900,00;12888,00;30788,00;4475,00;385
"BALGEES TIME             ";7;F;"PUR SANG";12;1;7;17900,00;6682,00;24582,00;1491,67;220
"PARISIAN BELLE           ";5;F;"PUR SANG";11;0;6;17900,00;8860,00;26760,00;1627,27;165
"KALINOVKA                ";2;F;"PUR SANG";4;1;3;17850,00;12852,00;30702,00;4462,50;355
"LADIES LAW               ";3;F;"PUR SANG";9;1;4;17800,00;12816,00;30616,00;1977,78;305
"VAGALAME                 ";4;M;"PUR SANG";5;1;3;17800,00;8810,00;26610,00;3560,00;450
"SEASCAPE GIRL            ";4;F;"PUR SANG";11;1;3;17800,00;0,00;17800,00;1618,18;335
"EMBAJADORES              ";9;H;"PUR SANG";8;1;5;17800,00;7209,00;25009,00;2225,00;225
"WINNAN                   ";4;F;"PUR SANG";13;1;4;17800,00;8810,00;26610,00;1369,23;285
"AXIOME                   ";3;H;"PUR SANG";7;0;5;17800,00;12816,00;30616,00;2542,86;360
"CHUBASCO                 ";6;H;"PUR SANG";9;1;5;17780,00;7200,00;24980,00;1975,56;285
"PICWOCKY                 ";4;H;"PUR SANG";15;1;6;17775,00;8798,00;26573,00;1185,00;265
"SCAR CHOPE               ";2;F;"PUR SANG";5;2;1;17750,00;12780,00;30530,00;3550,00;340
"BELLATOR                 ";3;M;"PUR SANG";4;1;2;17750,00;12780,00;30530,00;4437,50;370
"MDRACAFEU                ";8;H;"PUR SANG";6;1;3;17750,00;7188,00;24938,00;2958,33;310
"GUITRY                   ";3;F;"PUR SANG";8;0;5;17750,00;0,00;17750,00;2218,75;320
"SIXUNION                 ";4;H;"PUR SANG";7;1;3;17730,00;8775,00;26505,00;2532,86;275
"SIMPLY STRIKING          ";7;H;"PUR SANG";7;1;3;17720,00;7176,00;24896,00;2531,43;420
"MR DREAMER               ";3;M;"PUR SANG";7;1;4;17710,00;12751,00;30461,00;2530,00;340
"ERMELIE                  ";4;F;"PUR SANG";3;2;1;17700,00;8760,00;26460,00;5900,00;360
"MUNROH                   ";3;M;"PUR SANG";4;1;1;17700,00;12744,00;30444,00;4425,00;380
"WHAT A FAIR FOOT         ";7;F;"PUR SANG";8;1;4;17700,00;0,00;17700,00;2212,50;285
"KALBIYANN                ";3;H;"PUR SANG";3;1;2;17700,00;12744,00;30444,00;5900,00;395
"GRAND TRAVERSE           ";3;M;"PUR SANG";3;1;1;17700,00;0,00;17700,00;5900,00;400
"SILVER CRACK             ";3;M;"PUR SANG";2;1;1;17700,00;12744,00;30444,00;8850,00;
"VILLAGE ANGLAIS          ";3;M;"PUR SANG";7;1;4;17700,00;12744,00;30444,00;2528,57;360
"CORDEY ROSE              ";7;F;"PUR SANG";9;0;5;17700,00;6479,00;24179,00;1966,67;325
"AIGRETTE                 ";3;F;"PUR SANG";6;0;5;17700,00;12744,00;30444,00;2950,00;330
"MYKAN                    ";4;H;"PUR SANG";10;0;6;17700,00;8760,00;26460,00;1770,00;220
"FORCE TRANQUILLE         ";4;F;"PUR SANG";10;2;4;17650,00;8735,00;26385,00;1765,00;250
"NAISHAN                  ";9;H;"PUR SANG";7;1;2;17650,00;0,00;17650,00;2521,43;340
"SUPER RAFALE             ";2;M;"PUR SANG";4;1;3;17650,00;12708,00;30358,00;4412,50;370
"TIME TO FLY              ";8;H;"PUR SANG";8;1;3;17630,00;7139,00;24769,00;2203,75;255
"ALMANARAH                ";4;F;"PUR SANG";10;1;4;17600,00;7869,00;25469,00;1760,00;305
"MONFRERE                 ";10;H;"PUR SANG";12;1;5;17600,00;7127,00;24727,00;1466,67;255
"QUICK CHANGE             ";4;F;"PUR SANG";2;0;2;17600,00;0,00;17600,00;8800,00;430
"STALLONE                 ";4;M;"PUR SANG";8;0;5;17600,00;0,00;17600,00;2200,00;365
"SOUND ANGELA             ";4;F;"PUR SANG";2;0;2;17600,00;0,00;17600,00;8800,00;445
"MEISHO VELITE            ";2;F;"PUR SANG";3;1;1;17550,00;12636,00;30186,00;5850,00;380
"ADELA                    ";3;F;"PUR SANG";6;1;4;17525,00;12618,00;30143,00;2920,83;280
"MAGNENTIUS               ";10;H;"PUR SANG";6;2;0;17500,00;7087,00;24587,00;2916,67;345
"LES REYS                 ";2;F;"PUR SANG";1;1;0;17500,00;12600,00;30100,00;17500,00;
"DANCING GODDESS          ";3;F;"PUR SANG";1;1;0;17500,00;0,00;17500,00;17500,00;
"IFACH                    ";3;H;"PUR SANG";3;1;1;17500,00;0,00;17500,00;5833,33;420
"SIBAYAN                  ";2;M;"PUR SANG";1;1;0;17500,00;12600,00;30100,00;17500,00;
"WHERE CHOP               ";5;M;"PUR SANG";9;1;5;17500,00;8662,00;26162,00;1944,44;235
"AROUND MIDNIGHT          ";3;F;"PUR SANG";2;0;2;17500,00;12600,00;30100,00;8750,00;460
"MA GRISE                 ";2;F;"PUR SANG";9;0;6;17500,00;12600,00;30100,00;1944,44;320
"SPIRIT GAL               ";3;F;"PUR SANG";4;0;2;17500,00;12600,00;30100,00;4375,00;430
