Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"VAYDENA                  ";4;F;"PUR SANG";5;2;1;20150,00;9973,00;30123,00;4030,00;355
"JOA STAR                 ";4;F;"PUR SANG";7;2;2;20150,00;9973,00;30123,00;2878,57;290
"VEGAS                    ";2;M;"PUR SANG";3;1;1;20100,00;14472,00;34572,00;6700,00;430
"MANADA                   ";3;F;"PUR SANG";8;1;3;20100,00;14472,00;34572,00;2512,50;350
"LORENZO DE MEDICI        ";4;H;"PUR SANG";7;1;3;20080,00;9938,00;30018,00;2868,57;360
"RACING GLORY             ";6;H;"PUR SANG";7;1;4;20060,00;8123,00;28183,00;2865,71;335
"DOWN TOWN                ";4;F;"PUR SANG";8;1;5;20050,00;9924,00;29974,00;2506,25;275
"LEWIS CHOP               ";3;H;"PUR SANG";11;1;3;20050,00;14436,00;34486,00;1822,73;305
"PONNTOS                  ";5;M;"PUR SANG";4;0;2;20050,00;0,00;20050,00;5012,50;495
"MOMO NELSON              ";4;H;"PUR SANG";11;1;8;20025,00;9910,00;29935,00;1820,45;285
"NO MORE BOLERO           ";4;H;"PUR SANG";5;2;2;20020,00;0,00;20020,00;4004,00;370
"GIDEON GREY              ";5;H;"PUR SANG";6;3;0;20000,00;9900,00;29900,00;3333,33;310
"RODAINAH                 ";3;F;"PUR SANG";7;2;3;20000,00;14400,00;34400,00;2857,14;360
"PINK GOLD                ";5;F;"PUR SANG";10;2;2;20000,00;9900,00;29900,00;2000,00;250
"BELHARRA                 ";5;F;"PUR SANG";2;1;1;20000,00;9899,00;29899,00;10000,00;375
"ZINZICHERA               ";11;F;"PUR SANG";13;1;5;20000,00;8100,00;28100,00;1538,46;215
"DIANARA                  ";2;F;"PUR SANG";1;0;1;20000,00;0,00;20000,00;20000,00;
"GAENARI                  ";2;F;"PUR SANG";3;0;2;20000,00;0,00;20000,00;6666,67;440
"POGO                     ";7;M;"PUR SANG";1;0;1;19985,00;0,00;19985,00;19985,00;485
"SACRED ANGEL             ";2;F;"PUR SANG";1;0;1;19985,00;0,00;19985,00;19985,00;480
"MORGANA                  ";3;F;"PUR SANG";5;1;3;19950,00;14364,00;34314,00;3990,00;400
"SEVEN QUESTIONS          ";2;H;"PUR SANG";1;0;1;19950,00;0,00;19950,00;19950,00;460
"YEMASKA                  ";5;H;"PUR SANG";7;2;1;19900,00;9850,00;29750,00;2842,86;325
"SPIRIT OF DANCE          ";7;H;"PUR SANG";13;2;4;19900,00;8059,00;27959,00;1530,77;220
"FEEDESREVES              ";5;F;"PUR SANG";11;1;6;19900,00;9849,00;29749,00;1809,09;195
"MARIE TREZY              ";3;F;"PUR SANG";13;1;6;19900,00;14328,00;34228,00;1530,77;285
"SUNDAY FUDGE             ";3;F;"PUR SANG";8;1;3;19900,00;14328,00;34228,00;2487,50;365
"QUICK FLASH              ";5;H;"PUR SANG";9;1;6;19900,00;9849,00;29749,00;2211,11;325
"CREATIVE                 ";7;F;"PUR SANG";14;1;5;19900,00;8057,00;27957,00;1421,43;300
"HIGHBARI                 ";6;M;"PUR SANG";7;0;5;19880,00;8050,00;27930,00;2840,00;375
"MYMAP                    ";3;F;"PUR SANG";8;2;2;19870,00;14306,00;34176,00;2483,75;340
"ZOKOA                    ";3;H;"PUR SANG";9;2;1;19850,00;14292,00;34142,00;2205,56;340
"ARISTOCRATE              ";6;H;"PUR SANG";10;1;7;19850,00;8037,00;27887,00;1985,00;280
"BLESS                    ";3;M;"PUR SANG";4;0;4;19850,00;14292,00;34142,00;4962,50;455
"ROYALTIES                ";3;H;"PUR SANG";12;0;7;19850,00;14292,00;34142,00;1654,17;295
"JOEY UP                  ";5;H;"PUR SANG";6;1;3;19830,00;9815,00;29645,00;3305,00;385
"KINTANA BLUE             ";4;F;"PUR SANG";6;1;2;19820,00;9809,00;29629,00;3303,33;365
"MYSTICAL PRINCE          ";10;H;"PUR SANG";13;2;3;19800,00;8019,00;27819,00;1523,08;255
"ART COLLECTION           ";10;H;"PUR SANG";11;2;3;19800,00;8018,00;27818,00;1800,00;270
"MANDEGA                  ";3;M;"PUR SANG";6;1;3;19800,00;14256,00;34056,00;3300,00;350
"ROSA PARKS               ";5;F;"PUR SANG";10;0;8;19800,00;9801,00;29601,00;1980,00;265
"MISS CAYSSIE             ";5;F;"PUR SANG";8;1;4;19750,00;9775,00;29525,00;2468,75;285
"PAGES                    ";5;M;"PUR SANG";6;1;3;19750,00;9775,00;29525,00;3291,67;320
"DREAM AGAIN              ";4;F;"PUR SANG";13;1;5;19750,00;9775,00;29525,00;1519,23;185
"DON'T LOOK UP            ";3;H;"PUR SANG";6;1;3;19750,00;14220,00;33970,00;3291,67;340
"ANATH                    ";7;F;"PUR SANG";17;1;6;19740,00;7994,00;27734,00;1161,18;225
"ALERIC                   ";4;H;"PUR SANG";8;3;3;19650,00;9254,00;28904,00;2456,25;260
"WELL DE VINDECY          ";7;F;"PUR SANG";10;1;5;19650,00;7957,00;27607,00;1965,00;230
"LIFE'S A BREEZE          ";7;H;"PUR SANG";12;1;4;19650,00;0,00;19650,00;1637,50;245
"LIBRE                    ";6;H;"PUR SANG";10;2;1;19600,00;7937,00;27537,00;1960,00;295
"BREIZH WOOD              ";3;H;"PUR SANG";9;2;5;19600,00;14112,00;33712,00;2177,78;280
"O GRE DES SAISONS        ";5;H;"PUR SANG";10;2;4;19550,00;9676,00;29226,00;1955,00;240
"FRAICHE                  ";3;F;"PUR SANG";7;1;5;19550,00;14076,00;33626,00;2792,86;360
"PICNIC ROYAL             ";7;H;"PUR SANG";5;0;4;19510,00;7900,00;27410,00;3902,00;380
